point50705 ( 41551 , 166649 ) 
point13545 ( 388848 , 953193 ) 
point28793 ( 410356 , 841992 ) 
point51362 ( 285875 , 146610 ) 
point38226 ( 537376 , 83151 ) 
point910 ( 303413 , 718731 ) 
point17923 ( 20692 , 476519 ) 
point99020 ( 795467 , 270534 ) 
point16260 ( 789993 , 843258 ) 
point62438 ( 769558 , 294848 ) 
point80052 ( 788845 , 290981 ) 
point67661 ( 772520 , 262476 ) 
point36199 ( 35741 , 202957 ) 
point94658 ( 763778 , 264772 ) 
point68205 ( 792735 , 264554 ) 
point14100 ( 962248 , 927005 ) 
point14758 ( 365958 , 117931 ) 
point30959 ( 722477 , 145561 ) 
point4703 ( 43345 , 97490 ) 
point30990 ( 698463 , 673523 ) 
point42796 ( 412404 , 168567 ) 
point32194 ( 829126 , 844752 ) 
point15100 ( 85430 , 573385 ) 
point331 ( 624948 , 291384 ) 
point45327 ( 304681 , 753465 ) 
point20996 ( 587524 , 282572 ) 
point34175 ( 935038 , 304679 ) 
point93781 ( 791887 , 281568 ) 
point65954 ( 765298 , 258639 ) 
point66365 ( 783858 , 276894 ) 
point54732 ( 239741 , 18097 ) 
point95621 ( 790683 , 279920 ) 
point6091 ( 573875 , 53674 ) 
point86904 ( 777702 , 251033 ) 
point99397 ( 788943 , 289930 ) 
point96279 ( 779284 , 251568 ) 
point55177 ( 747097 , 465714 ) 
point68019 ( 793721 , 254122 ) 
point54478 ( 190929 , 465616 ) 
point3317 ( 327959 , 765379 ) 
point11450 ( 805350 , 790681 ) 
point87334 ( 782254 , 280093 ) 
point15350 ( 320766 , 541088 ) 
point4815 ( 390583 , 47544 ) 
point4078 ( 685944 , 68867 ) 
point19661 ( 413248 , 890664 ) 
point99853 ( 793071 , 295632 ) 
point33985 ( 987638 , 480866 ) 
point35178 ( 78002 , 516323 ) 
point57503 ( 34087 , 665272 ) 
point8383 ( 50254 , 566299 ) 
point36227 ( 528539 , 698109 ) 
point11132 ( 523565 , 619392 ) 
point11351 ( 329918 , 264940 ) 
point19714 ( 523355 , 630747 ) 
point95052 ( 752777 , 263684 ) 
point17525 ( 946311 , 801586 ) 
point29192 ( 521604 , 364008 ) 
point27301 ( 39622 , 728252 ) 
point69812 ( 777652 , 299752 ) 
point72885 ( 760383 , 289165 ) 
point14839 ( 727123 , 404034 ) 
point80162 ( 778122 , 255431 ) 
point23207 ( 132673 , 808043 ) 
point97153 ( 791171 , 281410 ) 
point45281 ( 848187 , 441080 ) 
point33656 ( 915004 , 529513 ) 
point3015 ( 344274 , 360846 ) 
point68786 ( 784757 , 262223 ) 
point45322 ( 760773 , 260632 ) 
point36160 ( 415099 , 773046 ) 
point88304 ( 798690 , 263011 ) 
point77794 ( 785476 , 271068 ) 
point68625 ( 772082 , 263461 ) 
point26867 ( 726489 , 702782 ) 
point38776 ( 439177 , 718088 ) 
point79711 ( 780729 , 284449 ) 
point6264 ( 932938 , 462032 ) 
point36305 ( 728401 , 916528 ) 
point71813 ( 780233 , 259053 ) 
point17173 ( 38373 , 968451 ) 
point74644 ( 762793 , 255606 ) 
point90125 ( 778362 , 268046 ) 
point92791 ( 779453 , 259331 ) 
point63841 ( 774039 , 252250 ) 
point59964 ( 391063 , 460580 ) 
point35856 ( 350601 , 485472 ) 
point97422 ( 797627 , 250208 ) 
point98480 ( 762377 , 279684 ) 
point88682 ( 762739 , 276126 ) 
point85812 ( 785945 , 299471 ) 
point30568 ( 309583 , 614531 ) 
point16779 ( 671524 , 881888 ) 
point53396 ( 414277 , 699273 ) 
point19263 ( 884710 , 252852 ) 
point93485 ( 790497 , 290979 ) 
point71985 ( 757658 , 282565 ) 
point48662 ( 27733 , 192515 ) 
point13351 ( 745578 , 72142 ) 
point18681 ( 182856 , 665141 ) 
point97694 ( 797849 , 298607 ) 
point78628 ( 761274 , 250337 ) 
point72113 ( 768601 , 282183 ) 
point97516 ( 769538 , 264998 ) 
point17982 ( 226863 , 36289 ) 
point62209 ( 792859 , 272887 ) 
point87889 ( 755551 , 278887 ) 
point94303 ( 761687 , 258049 ) 
point19442 ( 166153 , 102048 ) 
point92424 ( 785592 , 289271 ) 
point26638 ( 489898 , 456789 ) 
point89184 ( 780286 , 286327 ) 
point49866 ( 443814 , 888230 ) 
point34364 ( 223059 , 395620 ) 
point8812 ( 384741 , 45325 ) 
point58477 ( 904357 , 925659 ) 
point49934 ( 698823 , 339406 ) 
point463 ( 23416 , 422533 ) 
point29116 ( 649864 , 255065 ) 
point84877 ( 771752 , 264511 ) 
point78740 ( 796751 , 253515 ) 
point2935 ( 815935 , 898411 ) 
point18206 ( 207460 , 587883 ) 
point54351 ( 658769 , 299487 ) 
point62876 ( 772805 , 294008 ) 
point80408 ( 791582 , 278389 ) 
point74288 ( 764192 , 253394 ) 
point59198 ( 35347 , 754493 ) 
point58151 ( 799841 , 424954 ) 
point41645 ( 437813 , 327597 ) 
point76197 ( 787549 , 269482 ) 
point8661 ( 318914 , 654572 ) 
point34065 ( 164155 , 847024 ) 
point77928 ( 765618 , 279736 ) 
point74137 ( 789081 , 259823 ) 
point96536 ( 755229 , 289770 ) 
point49679 ( 303777 , 780880 ) 
point3455 ( 291317 , 579682 ) 
point63828 ( 772513 , 275576 ) 
point29919 ( 966718 , 442367 ) 
point74537 ( 755437 , 262123 ) 
point68887 ( 763750 , 271534 ) 
point17491 ( 890288 , 64869 ) 
point36036 ( 736268 , 158535 ) 
point85677 ( 752465 , 257570 ) 
point68158 ( 751400 , 264648 ) 
point61434 ( 793613 , 254906 ) 
point54947 ( 621870 , 132652 ) 
point90504 ( 753212 , 291954 ) 
point40541 ( 149152 , 864225 ) 
point47476 ( 410454 , 728206 ) 
point7733 ( 687808 , 694479 ) 
point34809 ( 974730 , 570258 ) 
point88218 ( 778369 , 283598 ) 
point67689 ( 762359 , 286317 ) 
point48210 ( 892983 , 666538 ) 
point67861 ( 771798 , 290578 ) 
point68791 ( 750982 , 286416 ) 
point75911 ( 779766 , 263591 ) 
point17539 ( 275548 , 255485 ) 
point905 ( 356473 , 675154 ) 
point24375 ( 376941 , 100263 ) 
point88464 ( 787125 , 253348 ) 
point29277 ( 359879 , 634353 ) 
point95159 ( 793864 , 280549 ) 
point66361 ( 760585 , 299262 ) 
point10121 ( 47665 , 580767 ) 
point72777 ( 760329 , 272486 ) 
point89687 ( 774630 , 282376 ) 
point43544 ( 435474 , 800244 ) 
point59367 ( 924772 , 756997 ) 
point80988 ( 780757 , 252180 ) 
point28129 ( 730892 , 414093 ) 
point52836 ( 939361 , 760367 ) 
point66486 ( 790727 , 296678 ) 
point55749 ( 369113 , 90188 ) 
point3533 ( 70210 , 112372 ) 
point73846 ( 751566 , 277681 ) 
point38647 ( 420188 , 725090 ) 
point15650 ( 641943 , 570550 ) 
point43096 ( 306852 , 695715 ) 
point4164 ( 642141 , 579874 ) 
point61476 ( 752012 , 272377 ) 
point27627 ( 62900 , 408810 ) 
point45217 ( 450634 , 826677 ) 
point91300 ( 773121 , 270449 ) 
point37796 ( 480316 , 148827 ) 
point61744 ( 788363 , 267279 ) 
point97424 ( 774402 , 261489 ) 
point64386 ( 777215 , 256091 ) 
point899 ( 874953 , 420865 ) 
point38747 ( 632308 , 722090 ) 
point57690 ( 517106 , 695272 ) 
point30927 ( 794418 , 864900 ) 
point98341 ( 759355 , 255598 ) 
point28419 ( 640983 , 188730 ) 
point40343 ( 269253 , 721185 ) 
point10315 ( 634885 , 435210 ) 
point52168 ( 660775 , 482315 ) 
point87935 ( 780089 , 277174 ) 
point19106 ( 460593 , 489939 ) 
point89321 ( 776491 , 278892 ) 
point75737 ( 759000 , 268588 ) 
point75869 ( 757944 , 299341 ) 
point56415 ( 979736 , 916 ) 
point93010 ( 793315 , 296776 ) 
point4137 ( 314331 , 533338 ) 
point83630 ( 754654 , 278529 ) 
point61345 ( 775282 , 262432 ) 
point83829 ( 786645 , 262329 ) 
point53379 ( 856590 , 835535 ) 
point9136 ( 867202 , 790348 ) 
point15025 ( 248665 , 614503 ) 
point93559 ( 778060 , 281773 ) 
point54134 ( 233366 , 790324 ) 
point60528 ( 786714 , 250367 ) 
point78913 ( 791965 , 295710 ) 
point88951 ( 789324 , 278530 ) 
point44286 ( 157479 , 147331 ) 
point1033 ( 306477 , 620550 ) 
point37358 ( 698528 , 267868 ) 
point12821 ( 191918 , 24008 ) 
point37309 ( 539963 , 686773 ) 
point19842 ( 68096 , 195069 ) 
point44213 ( 590623 , 847296 ) 
point74228 ( 766352 , 298274 ) 
point17531 ( 625066 , 305443 ) 
point78853 ( 760855 , 263910 ) 
point37007 ( 596715 , 846266 ) 
point26128 ( 286316 , 669700 ) 
point80326 ( 764626 , 275673 ) 
point54244 ( 605793 , 387279 ) 
point50743 ( 929187 , 284875 ) 
point28788 ( 210944 , 475604 ) 
point20050 ( 730218 , 674882 ) 
point65363 ( 798506 , 292238 ) 
point41193 ( 677343 , 126418 ) 
point53851 ( 779254 , 666588 ) 
point56819 ( 235554 , 49427 ) 
point7930 ( 85641 , 47915 ) 
point28271 ( 897797 , 64026 ) 
point76925 ( 755207 , 263181 ) 
point5694 ( 696290 , 100451 ) 
point44197 ( 895430 , 198026 ) 
point48050 ( 108514 , 501867 ) 
point61674 ( 763508 , 256274 ) 
point19604 ( 934267 , 503527 ) 
point23825 ( 988949 , 650252 ) 
point49833 ( 196751 , 455852 ) 
point16377 ( 613683 , 696309 ) 
point67503 ( 780473 , 289406 ) 
point9802 ( 274418 , 758399 ) 
point70610 ( 789127 , 260931 ) 
point87927 ( 798168 , 251512 ) 
point30595 ( 160645 , 962492 ) 
point72199 ( 791350 , 269684 ) 
point39301 ( 435040 , 801251 ) 
point26382 ( 936172 , 675277 ) 
point40454 ( 759551 , 582608 ) 
point9884 ( 285162 , 625960 ) 
point17288 ( 261112 , 578002 ) 
point75407 ( 768074 , 299315 ) 
point1940 ( 303777 , 715678 ) 
point9982 ( 232788 , 452026 ) 
point61189 ( 752238 , 260013 ) 
point42093 ( 577059 , 185217 ) 
point76339 ( 786198 , 292981 ) 
point30966 ( 238654 , 265518 ) 
point90041 ( 765788 , 290666 ) 
point98558 ( 784060 , 252496 ) 
point96722 ( 767796 , 270831 ) 
point30386 ( 313056 , 209066 ) 
point96194 ( 789335 , 271464 ) 
point8554 ( 850188 , 963841 ) 
point82551 ( 788052 , 292313 ) 
point30496 ( 215234 , 784892 ) 
point58467 ( 908753 , 178980 ) 
point23829 ( 190450 , 307311 ) 
point78192 ( 775393 , 274741 ) 
point24442 ( 798926 , 726168 ) 
point32200 ( 530342 , 613928 ) 
point42786 ( 227868 , 584171 ) 
point2839 ( 784398 , 904245 ) 
point72667 ( 778452 , 295314 ) 
point45001 ( 982628 , 97869 ) 
point199 ( 931488 , 643953 ) 
point14055 ( 724429 , 796103 ) 
point16136 ( 43967 , 713393 ) 
point62123 ( 792187 , 291481 ) 
point29035 ( 575594 , 296648 ) 
point816 ( 32137 , 28332 ) 
point2660 ( 671509 , 657681 ) 
point73452 ( 795565 , 292536 ) 
point9846 ( 676837 , 409173 ) 
point26704 ( 702169 , 34203 ) 
point68388 ( 776693 , 272126 ) 
point49002 ( 834938 , 108818 ) 
point69942 ( 776823 , 293192 ) 
point72411 ( 784032 , 255571 ) 
point71903 ( 763919 , 251632 ) 
point18786 ( 486300 , 659703 ) 
point55478 ( 144963 , 146717 ) 
point92442 ( 756239 , 260836 ) 
point48051 ( 360482 , 645825 ) 
point86535 ( 770869 , 288548 ) 
point37258 ( 108176 , 443936 ) 
point65699 ( 771906 , 262794 ) 
point85442 ( 783589 , 271305 ) 
point2979 ( 365080 , 743047 ) 
point30788 ( 657353 , 158552 ) 
point75261 ( 754725 , 251203 ) 
point9901 ( 363711 , 920066 ) 
point45429 ( 605314 , 707025 ) 
point78897 ( 799280 , 275318 ) 
point6671 ( 156399 , 496379 ) 
point33468 ( 182573 , 547304 ) 
point10398 ( 289722 , 122321 ) 
point20383 ( 836325 , 758556 ) 
point85692 ( 785642 , 291438 ) 
point51592 ( 308053 , 950631 ) 
point9949 ( 490207 , 300661 ) 
point91493 ( 786877 , 275993 ) 
point73113 ( 775941 , 261496 ) 
point94086 ( 760262 , 288235 ) 
point55878 ( 605701 , 695276 ) 
point73622 ( 753411 , 280988 ) 
point81499 ( 766700 , 261219 ) 
point46251 ( 730397 , 857475 ) 
point58543 ( 450288 , 596253 ) 
point66179 ( 763003 , 285261 ) 
point83017 ( 758938 , 291113 ) 
point82005 ( 797431 , 280703 ) 
point54429 ( 829602 , 530304 ) 
point95389 ( 754200 , 260667 ) 
point46024 ( 451352 , 61654 ) 
point98406 ( 791373 , 261957 ) 
point87920 ( 754756 , 251419 ) 
point55117 ( 476373 , 582151 ) 
point11340 ( 112454 , 549508 ) 
point49945 ( 723438 , 317908 ) 
point38072 ( 98023 , 663688 ) 
point95445 ( 763122 , 278989 ) 
point35729 ( 463805 , 122440 ) 
point21539 ( 741915 , 431904 ) 
point26963 ( 800292 , 24651 ) 
point77331 ( 791759 , 295962 ) 
point41966 ( 801069 , 575395 ) 
point8184 ( 701399 , 57541 ) 
point32118 ( 628065 , 985208 ) 
point70222 ( 766349 , 292106 ) 
point24887 ( 385934 , 175500 ) 
point96597 ( 793711 , 298892 ) 
point61898 ( 763625 , 267272 ) 
point55746 ( 943893 , 522323 ) 
point23522 ( 477355 , 233962 ) 
point36401 ( 432532 , 553965 ) 
point3479 ( 792589 , 577201 ) 
point81417 ( 774956 , 253208 ) 
point47071 ( 806182 , 609177 ) 
point47212 ( 217579 , 734280 ) 
point38831 ( 643248 , 324647 ) 
point53309 ( 213521 , 205221 ) 
point81554 ( 756024 , 256416 ) 
point9331 ( 130637 , 501003 ) 
point87052 ( 776904 , 299743 ) 
point57105 ( 669516 , 124760 ) 
point52607 ( 962693 , 273276 ) 
point17031 ( 60326 , 409894 ) 
point88351 ( 766396 , 291698 ) 
point73447 ( 750247 , 252399 ) 
point38500 ( 728609 , 303896 ) 
point27463 ( 391354 , 194134 ) 
point6300 ( 992012 , 222574 ) 
point74007 ( 779867 , 276235 ) 
point75484 ( 788399 , 277003 ) 
point26841 ( 886326 , 348689 ) 
point21967 ( 854884 , 84034 ) 
point40661 ( 821751 , 306750 ) 
point34452 ( 333028 , 284520 ) 
point14783 ( 131356 , 261941 ) 
point50256 ( 146083 , 677175 ) 
point74489 ( 790276 , 251813 ) 
point76481 ( 773757 , 261595 ) 
point94420 ( 773790 , 272412 ) 
point92346 ( 772302 , 297877 ) 
point94785 ( 762468 , 295826 ) 
point53850 ( 54063 , 424506 ) 
point53916 ( 813467 , 613166 ) 
point96217 ( 791385 , 269629 ) 
point94677 ( 777866 , 297099 ) 
point29466 ( 887245 , 765743 ) 
point86802 ( 767399 , 250997 ) 
point38340 ( 229055 , 937178 ) 
point91892 ( 763622 , 278803 ) 
point94642 ( 757934 , 266231 ) 
point68992 ( 758133 , 289281 ) 
point82756 ( 759402 , 282656 ) 
point17070 ( 638168 , 324374 ) 
point64193 ( 790445 , 298893 ) 
point64938 ( 776299 , 280923 ) 
point61615 ( 779805 , 252790 ) 
point87419 ( 756795 , 263919 ) 
point56908 ( 222502 , 923465 ) 
point96492 ( 786976 , 289279 ) 
point92850 ( 778949 , 281142 ) 
point80148 ( 771420 , 266267 ) 
point58378 ( 823967 , 924991 ) 
point55569 ( 602078 , 101816 ) 
point60605 ( 791192 , 289630 ) 
point17644 ( 701764 , 578647 ) 
point87956 ( 756695 , 263249 ) 
point74977 ( 795931 , 277022 ) 
point35012 ( 403844 , 56914 ) 
point65889 ( 782739 , 274095 ) 
point69791 ( 796833 , 268031 ) 
point24808 ( 452483 , 239606 ) 
point47405 ( 239456 , 83235 ) 
point59491 ( 340714 , 901928 ) 
point10545 ( 222608 , 863161 ) 
point17628 ( 474360 , 373695 ) 
point26110 ( 402236 , 199215 ) 
point26438 ( 94666 , 375980 ) 
point72699 ( 770026 , 267707 ) 
point39501 ( 67206 , 599401 ) 
point68954 ( 792729 , 287155 ) 
point44503 ( 96853 , 911244 ) 
point28572 ( 557295 , 48459 ) 
point24847 ( 383407 , 714243 ) 
point58914 ( 793018 , 31521 ) 
point37921 ( 579674 , 621161 ) 
point2231 ( 157432 , 266919 ) 
point89770 ( 762033 , 273020 ) 
point79820 ( 797856 , 275423 ) 
point69133 ( 786682 , 288236 ) 
point62083 ( 793297 , 252775 ) 
point42044 ( 723525 , 469144 ) 
point67931 ( 754301 , 298722 ) 
point94054 ( 779508 , 279841 ) 
point73199 ( 772573 , 250452 ) 
point36353 ( 953733 , 435737 ) 
point8031 ( 79179 , 467483 ) 
point67373 ( 751995 , 269509 ) 
point29598 ( 56707 , 410581 ) 
point21779 ( 462098 , 509996 ) 
point59520 ( 957319 , 962403 ) 
point33181 ( 400654 , 895824 ) 
point48728 ( 712656 , 22536 ) 
point40697 ( 951117 , 428379 ) 
point27598 ( 754608 , 555785 ) 
point46409 ( 454283 , 185265 ) 
point67544 ( 793181 , 297954 ) 
point30196 ( 504591 , 270927 ) 
point19953 ( 135200 , 826444 ) 
point4103 ( 698039 , 180568 ) 
point57548 ( 696262 , 897323 ) 
point41877 ( 841855 , 889926 ) 
point57639 ( 850623 , 431097 ) 
point91709 ( 758050 , 256942 ) 
point45936 ( 982605 , 744605 ) 
point82501 ( 777590 , 272952 ) 
point63783 ( 762297 , 283962 ) 
point49522 ( 722236 , 363244 ) 
point88408 ( 797622 , 293476 ) 
point88768 ( 760000 , 270328 ) 
point71328 ( 791928 , 256142 ) 
point3221 ( 934998 , 651741 ) 
point81367 ( 799181 , 265340 ) 
point56287 ( 69712 , 3798 ) 
point71379 ( 798690 , 250903 ) 
point72429 ( 798355 , 259878 ) 
point56603 ( 256857 , 527935 ) 
point83114 ( 756928 , 283236 ) 
point73852 ( 797062 , 255527 ) 
point13493 ( 161976 , 342129 ) 
point22202 ( 988161 , 528896 ) 
point18263 ( 23231 , 588239 ) 
point63473 ( 778889 , 290616 ) 
point33912 ( 38010 , 564823 ) 
point36593 ( 492536 , 64529 ) 
point26377 ( 509496 , 249611 ) 
point63228 ( 798831 , 284795 ) 
point29352 ( 855011 , 954631 ) 
point87364 ( 754491 , 275216 ) 
point45796 ( 226218 , 399764 ) 
point63749 ( 787767 , 276709 ) 
point42338 ( 336791 , 97919 ) 
point54028 ( 219451 , 670015 ) 
point30925 ( 331422 , 52989 ) 
point94218 ( 786993 , 259221 ) 
point27673 ( 94663 , 506801 ) 
point34700 ( 630788 , 965404 ) 
point62900 ( 790272 , 271025 ) 
point93820 ( 796764 , 264328 ) 
point98719 ( 789460 , 277353 ) 
point11044 ( 470768 , 478154 ) 
point43044 ( 320960 , 139148 ) 
point13468 ( 537944 , 551762 ) 
point17680 ( 724128 , 579630 ) 
point42526 ( 424930 , 89883 ) 
point23277 ( 660828 , 343993 ) 
point69135 ( 791856 , 280056 ) 
point79394 ( 765370 , 256496 ) 
point77787 ( 769445 , 284906 ) 
point23739 ( 957891 , 678825 ) 
point22393 ( 161280 , 165348 ) 
point40030 ( 536510 , 610690 ) 
point11069 ( 686262 , 859351 ) 
point91795 ( 759683 , 299407 ) 
point15273 ( 870303 , 554654 ) 
point80418 ( 769788 , 288347 ) 
point73416 ( 791770 , 260298 ) 
point76591 ( 787314 , 269197 ) 
point57609 ( 924286 , 233314 ) 
point93729 ( 766535 , 283140 ) 
point41683 ( 466699 , 177335 ) 
point94061 ( 772684 , 298010 ) 
point28320 ( 79242 , 467874 ) 
point35522 ( 696407 , 322710 ) 
point73468 ( 798277 , 282416 ) 
point81941 ( 784109 , 258425 ) 
point65146 ( 793406 , 257241 ) 
point49276 ( 719037 , 512629 ) 
point23463 ( 626868 , 562066 ) 
point45528 ( 780514 , 58315 ) 
point56527 ( 944549 , 403310 ) 
point66728 ( 780113 , 261446 ) 
point56499 ( 264234 , 226933 ) 
point19026 ( 887768 , 432041 ) 
point16337 ( 52238 , 340415 ) 
point72280 ( 751192 , 253140 ) 
point13955 ( 924601 , 679413 ) 
point1472 ( 804214 , 115058 ) 
point9513 ( 236332 , 462932 ) 
point57500 ( 289526 , 268062 ) 
point50146 ( 638180 , 273862 ) 
point60421 ( 757508 , 261408 ) 
point89312 ( 753415 , 279404 ) 
point29538 ( 137417 , 832095 ) 
point95999 ( 761887 , 268670 ) 
point89062 ( 761684 , 296415 ) 
point13927 ( 503120 , 892582 ) 
point60834 ( 763662 , 257006 ) 
point12175 ( 508095 , 849824 ) 
point22503 ( 131216 , 153878 ) 
point96838 ( 758593 , 299566 ) 
point1162 ( 676422 , 781340 ) 
point74567 ( 754587 , 266178 ) 
point85100 ( 776588 , 297424 ) 
point23564 ( 308963 , 263649 ) 
point38261 ( 382821 , 147179 ) 
point14226 ( 431738 , 132767 ) 
point30257 ( 637725 , 586326 ) 
point7513 ( 853102 , 361283 ) 
point65319 ( 753573 , 280010 ) 
point12001 ( 473630 , 944326 ) 
point22520 ( 169456 , 60046 ) 
point20129 ( 911248 , 772481 ) 
point67403 ( 764642 , 260890 ) 
point35301 ( 54594 , 63011 ) 
point7814 ( 307496 , 795161 ) 
point13141 ( 135441 , 94295 ) 
point33860 ( 122265 , 912975 ) 
point2391 ( 446795 , 556883 ) 
point87093 ( 773119 , 280979 ) 
point87187 ( 769097 , 268359 ) 
point88914 ( 762686 , 297629 ) 
point37597 ( 177682 , 152137 ) 
point35070 ( 173550 , 663526 ) 
point85103 ( 771278 , 254695 ) 
point86308 ( 789334 , 251574 ) 
point15410 ( 647465 , 537055 ) 
point95537 ( 789523 , 275714 ) 
point85123 ( 774461 , 289186 ) 
point36685 ( 228024 , 564952 ) 
point42189 ( 995137 , 569213 ) 
point41591 ( 456595 , 393207 ) 
point86305 ( 771339 , 285704 ) 
point15890 ( 867104 , 614937 ) 
point95678 ( 764350 , 290996 ) 
point8293 ( 738540 , 352870 ) 
point71096 ( 793962 , 295852 ) 
point67455 ( 770310 , 254560 ) 
point17244 ( 183710 , 763248 ) 
point78780 ( 799782 , 256785 ) 
point15796 ( 270458 , 316708 ) 
point62007 ( 757080 , 296080 ) 
point26378 ( 849732 , 939278 ) 
point93843 ( 776921 , 291537 ) 
point62709 ( 779726 , 272027 ) 
point38266 ( 953583 , 837353 ) 
point90185 ( 782562 , 273197 ) 
point39514 ( 925756 , 845582 ) 
point68714 ( 788922 , 251765 ) 
point17958 ( 28508 , 529461 ) 
point47674 ( 367669 , 307310 ) 
point10690 ( 945701 , 198998 ) 
point38989 ( 804122 , 315050 ) 
point91051 ( 751516 , 253583 ) 
point77718 ( 789324 , 276690 ) 
point27570 ( 111981 , 863443 ) 
point21429 ( 705062 , 280741 ) 
point18742 ( 85867 , 248661 ) 
point97374 ( 776510 , 281171 ) 
point45183 ( 360010 , 374671 ) 
point7885 ( 77876 , 148259 ) 
point24269 ( 121048 , 323648 ) 
point84957 ( 765835 , 282672 ) 
point33480 ( 993896 , 513259 ) 
point85120 ( 794280 , 296410 ) 
point479 ( 229833 , 795227 ) 
point64701 ( 750504 , 253466 ) 
point1389 ( 780602 , 995580 ) 
point806 ( 143094 , 907361 ) 
point48024 ( 765438 , 468216 ) 
point7526 ( 887814 , 461307 ) 
point93987 ( 772778 , 265123 ) 
point70508 ( 774303 , 298617 ) 
point29866 ( 507577 , 417477 ) 
point35555 ( 133397 , 923009 ) 
point15204 ( 311833 , 676884 ) 
point76015 ( 799588 , 258020 ) 
point57640 ( 80438 , 1539 ) 
point7088 ( 424354 , 593807 ) 
point70114 ( 786369 , 265519 ) 
point19923 ( 568616 , 971384 ) 
point80907 ( 758648 , 255469 ) 
point76780 ( 789511 , 299356 ) 
point13049 ( 345106 , 840270 ) 
point57225 ( 13636 , 764867 ) 
point87463 ( 791606 , 299370 ) 
point9339 ( 900062 , 95130 ) 
point89284 ( 788694 , 297997 ) 
point31515 ( 681247 , 432303 ) 
point32936 ( 117511 , 737075 ) 
point45203 ( 518142 , 313854 ) 
point70171 ( 771021 , 263544 ) 
point30967 ( 819428 , 58840 ) 
point32833 ( 363380 , 27283 ) 
point18843 ( 883789 , 754665 ) 
point92641 ( 791218 , 262425 ) 
point58982 ( 748210 , 414512 ) 
point97576 ( 782486 , 288962 ) 
point3487 ( 557645 , 580715 ) 
point45550 ( 386803 , 876144 ) 
point7736 ( 210176 , 220799 ) 
point57462 ( 441775 , 909268 ) 
point62650 ( 777563 , 266672 ) 
point49904 ( 239080 , 951587 ) 
point60445 ( 775690 , 296248 ) 
point51815 ( 871947 , 508069 ) 
point54267 ( 741793 , 254660 ) 
point20064 ( 201780 , 776825 ) 
point55932 ( 37036 , 498352 ) 
point24730 ( 794662 , 616337 ) 
point73232 ( 772459 , 295603 ) 
point75927 ( 758333 , 288197 ) 
point68137 ( 777676 , 278586 ) 
point66008 ( 760700 , 265126 ) 
point14446 ( 956915 , 377354 ) 
point28227 ( 920821 , 645041 ) 
point60651 ( 760985 , 252810 ) 
point91021 ( 756216 , 254919 ) 
point28595 ( 961722 , 277084 ) 
point68062 ( 753074 , 256259 ) 
point54831 ( 42464 , 494326 ) 
point79884 ( 794803 , 274982 ) 
point68794 ( 791530 , 261545 ) 
point42987 ( 269837 , 626838 ) 
point71197 ( 773651 , 264415 ) 
point6065 ( 730390 , 30165 ) 
point74319 ( 795793 , 276940 ) 
point47970 ( 718008 , 898588 ) 
point77854 ( 756845 , 278814 ) 
point63539 ( 760026 , 255431 ) 
point86284 ( 785156 , 270175 ) 
point1466 ( 999401 , 613837 ) 
point31852 ( 38337 , 234545 ) 
point46110 ( 179687 , 243350 ) 
point71962 ( 763315 , 294294 ) 
point6161 ( 519605 , 38760 ) 
point90842 ( 776229 , 299810 ) 
point1944 ( 175778 , 650078 ) 
point76042 ( 781148 , 295180 ) 
point69961 ( 794020 , 297525 ) 
point67888 ( 767280 , 258234 ) 
point6272 ( 967430 , 220337 ) 
point16756 ( 544254 , 508888 ) 
point42674 ( 337986 , 44442 ) 
point37772 ( 64063 , 454450 ) 
point76336 ( 781508 , 284114 ) 
point43327 ( 857188 , 775636 ) 
point97644 ( 767755 , 264653 ) 
point19570 ( 316658 , 934380 ) 
point5871 ( 471981 , 244028 ) 
point66414 ( 792516 , 250068 ) 
point72479 ( 754493 , 255938 ) 
point10617 ( 58136 , 2886 ) 
point70804 ( 761102 , 266581 ) 
point84597 ( 785003 , 292891 ) 
point91948 ( 796723 , 276106 ) 
point43823 ( 967750 , 439034 ) 
point71237 ( 776072 , 287283 ) 
point24578 ( 190735 , 186621 ) 
point55982 ( 284465 , 447258 ) 
point30166 ( 948875 , 737745 ) 
point31483 ( 490703 , 912822 ) 
point61681 ( 758169 , 288232 ) 
point82986 ( 753558 , 294419 ) 
point94946 ( 758736 , 261801 ) 
point9860 ( 957540 , 651937 ) 
point96326 ( 761648 , 266458 ) 
point7991 ( 347714 , 417606 ) 
point72346 ( 792849 , 280210 ) 
point3428 ( 853865 , 34440 ) 
point13968 ( 940026 , 285659 ) 
point16680 ( 378487 , 417644 ) 
point81156 ( 750401 , 287703 ) 
point91133 ( 789953 , 279795 ) 
point5154 ( 852124 , 583745 ) 
point48957 ( 584535 , 290495 ) 
point19686 ( 943494 , 409866 ) 
point93207 ( 792768 , 277949 ) 
point80512 ( 761668 , 286219 ) 
point84115 ( 754987 , 297769 ) 
point52420 ( 514621 , 30725 ) 
point77664 ( 793446 , 291805 ) 
point98662 ( 766803 , 283264 ) 
point69024 ( 786334 , 257012 ) 
point3464 ( 656093 , 173468 ) 
point57909 ( 547501 , 990695 ) 
point9167 ( 805753 , 234780 ) 
point9890 ( 599161 , 350142 ) 
point45962 ( 759227 , 158068 ) 
point77322 ( 786396 , 285088 ) 
point61296 ( 765760 , 265264 ) 
point62649 ( 794670 , 293369 ) 
point600 ( 320427 , 740833 ) 
